,idShow,idActor
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,1,6
7,1,7
8,1,8
9,2,9
10,2,10
11,2,11
12,2,12
13,3,13
14,3,14
15,3,15
16,3,16
17,3,17
18,3,18
19,4,19
20,4,20
21,4,21
22,4,22
23,5,23
24,5,24
25,6,25
26,6,26
27,6,27
28,6,28
29,6,29
30,6,30
31,7,31
32,7,32
33,7,33
34,7,34
35,7,35
36,7,36
37,8,37
38,8,38
39,8,39
40,8,40
41,8,41
42,8,42
43,9,43
44,9,44
45,9,45
46,9,46
47,10,47
48,10,48
49,10,49
50,10,50
51,10,51
52,10,52
53,12,53
54,12,54
55,12,55
56,12,56
57,12,57
58,12,58
59,13,59
60,13,60
61,16,61
62,16,62
63,17,63
64,17,64
65,17,65
66,17,66
67,17,67
68,18,68
69,18,69
70,18,70
71,18,71
72,18,72
73,18,73
74,19,74
75,19,75
76,19,76
77,19,77
78,19,78
79,19,79
80,20,80
81,20,81
82,20,82
83,20,83
84,20,84
85,20,85
86,21,86
87,21,78
88,21,87
89,21,88
90,21,89
91,21,90
92,22,91
93,22,92
94,22,4
95,22,93
96,22,94
97,22,95
98,23,96
99,23,97
100,23,98
101,23,99
102,23,100
103,23,101
104,24,102
105,24,103
106,24,104
107,24,105
108,24,106
109,24,107
110,29,108
111,29,109
112,30,49
113,30,110
114,30,61
115,30,111
116,30,112
117,31,113
118,31,114
119,31,115
120,31,116
121,31,117
122,31,118
123,32,119
124,32,120
125,32,121
126,32,122
127,32,123
128,32,124
129,33,125
130,33,126
131,33,127
132,33,128
133,33,109
134,33,129
135,36,130
136,36,131
137,36,132
138,36,133
139,36,134
140,37,135
141,37,136
142,37,137
143,37,138
144,37,139
145,38,140
146,38,141
147,38,142
148,38,2
149,38,143
150,42,144
151,42,145
152,42,146
153,42,147
154,42,148
155,42,149
156,43,150
157,43,151
158,43,152
159,43,153
160,43,154
161,43,155
162,44,110
163,44,156
164,44,157
165,44,158
166,44,159
167,44,160
168,45,161
169,45,162
170,45,163
171,45,164
172,45,165
173,46,166
174,46,167
175,46,168
176,46,169
177,46,170
178,46,171
179,47,172
180,47,173
181,47,174
182,47,175
183,47,176
184,47,177
185,48,178
186,48,179
187,48,180
188,48,181
189,48,175
190,48,182
191,49,183
192,49,179
193,49,184
194,49,185
195,49,186
196,49,187
197,50,188
198,50,189
199,50,190
200,50,191
201,50,192
202,50,193
203,51,194
204,51,195
205,51,3
206,51,196
207,55,197
208,55,198
209,55,199
210,55,200
211,55,201
212,55,202
213,56,203
214,56,204
215,56,205
216,56,206
217,56,207
218,56,208
219,57,209
220,57,210
221,57,211
222,57,94
223,57,212
224,57,213
225,58,214
226,58,215
227,58,216
228,62,217
229,62,218
230,62,219
231,62,220
232,62,221
233,62,222
234,63,223
235,63,224
236,63,225
237,63,226
238,63,227
239,63,228
240,68,229
241,68,230
242,68,231
243,68,232
244,68,233
245,68,234
246,69,235
247,69,236
248,69,3
249,69,237
250,69,2
251,69,238
252,70,44
253,70,45
254,70,239
255,70,240
256,70,241
257,70,13
258,71,242
259,71,243
260,71,244
261,71,245
262,71,246
263,71,247
264,72,248
265,72,249
266,72,250
267,72,251
268,72,252
269,72,253
270,74,254
271,74,255
272,74,256
273,74,257
274,74,258
275,74,259
276,77,260
277,77,261
278,77,262
279,77,263
280,79,264
281,79,265
282,80,144
283,80,145
284,80,266
285,80,267
286,80,147
287,80,148
288,81,144
289,81,268
290,81,269
291,81,270
292,81,271
293,81,272
294,82,273
295,82,274
296,82,265
297,82,268
298,82,275
299,82,276
300,83,277
301,83,278
302,83,279
303,83,280
304,83,281
305,83,282
306,84,0
307,84,1
308,84,2
